,saversion,saverest,areasymbol,areaname,lkey,musym,muname,museq,mukey,comppct_r,compname,localphase,slope_r,cokey,hzdept_r,hzdepb_r,ksat_r,sandtotal_r,claytotal_r,silttotal_r,dbthirdbar_r,partdensity,wsatiated_r,chkey
0,23,8/27/2025 3:11:57 PM,NC113,"Macon County, North Carolina",14802,BuD,"Burton-Craggey-Rock outcrop complex, windswept, 15 to 30 percent slopes, stony",11,545800,15,Rock outcrop,,,26331603,0.0,203.0,0.035,,,,,,,78524395
1,23,8/27/2025 3:11:57 PM,NC113,"Macon County, North Carolina",14802,BuD,"Burton-Craggey-Rock outcrop complex, windswept, 15 to 30 percent slopes, stony",11,545800,35,Craggey,windswept,23.0,26331604,0.0,43.0,28.0,67.2,17.5,15.3,1.2,,29.0,78524394
2,23,8/27/2025 3:11:57 PM,NC113,"Macon County, North Carolina",14802,BuD,"Burton-Craggey-Rock outcrop complex, windswept, 15 to 30 percent slopes, stony",11,545800,35,Craggey,windswept,23.0,26331604,43.0,203.0,0.0,,,,,,,78524393
3,23,8/27/2025 3:11:57 PM,NC113,"Macon County, North Carolina",14802,BuD,"Burton-Craggey-Rock outcrop complex, windswept, 15 to 30 percent slopes, stony",11,545800,45,Burton,windswept,23.0,26331605,0.0,46.0,28.0,65.7,11.5,22.8,1.2,,38.0,78524391
4,23,8/27/2025 3:11:57 PM,NC113,"Macon County, North Carolina",14802,BuD,"Burton-Craggey-Rock outcrop complex, windswept, 15 to 30 percent slopes, stony",11,545800,45,Burton,windswept,23.0,26331605,46.0,91.0,28.0,65.7,11.5,22.8,1.55,,26.0,78524392
5,23,8/27/2025 3:11:57 PM,NC113,"Macon County, North Carolina",14802,BuD,"Burton-Craggey-Rock outcrop complex, windswept, 15 to 30 percent slopes, stony",11,545800,45,Burton,windswept,23.0,26331605,91.0,203.0,0.0,,,,,,,78524390
6,23,8/27/2025 3:11:57 PM,NC113,"Macon County, North Carolina",14802,BuF,"Burton-Craggey-Rock outcrop complex, windswept, 30 to 95 percent slopes, stony",12,545801,20,Rock outcrop,,,26331503,0.0,203.0,0.035,,,,,,,78524112
7,23,8/27/2025 3:11:57 PM,NC113,"Macon County, North Carolina",14802,BuF,"Burton-Craggey-Rock outcrop complex, windswept, 30 to 95 percent slopes, stony",12,545801,35,Craggey,windswept,63.0,26331504,0.0,43.0,28.0,67.2,17.5,15.3,1.2,,29.0,78524113
8,23,8/27/2025 3:11:57 PM,NC113,"Macon County, North Carolina",14802,BuF,"Burton-Craggey-Rock outcrop complex, windswept, 30 to 95 percent slopes, stony",12,545801,35,Craggey,windswept,63.0,26331504,43.0,203.0,0.0,,,,,,,78524114
9,23,8/27/2025 3:11:57 PM,NC113,"Macon County, North Carolina",14802,BuF,"Burton-Craggey-Rock outcrop complex, windswept, 30 to 95 percent slopes, stony",12,545801,40,Burton,windswept,63.0,26331505,0.0,46.0,28.0,65.7,11.5,22.8,1.2,,38.0,78524115
10,23,8/27/2025 3:11:57 PM,NC113,"Macon County, North Carolina",14802,BuF,"Burton-Craggey-Rock outcrop complex, windswept, 30 to 95 percent slopes, stony",12,545801,40,Burton,windswept,63.0,26331505,46.0,91.0,28.0,65.7,11.5,22.8,1.55,,25.0,78524116
11,23,8/27/2025 3:11:57 PM,NC113,"Macon County, North Carolina",14802,BuF,"Burton-Craggey-Rock outcrop complex, windswept, 30 to 95 percent slopes, stony",12,545801,40,Burton,windswept,63.0,26331505,91.0,203.0,0.0,,,,,,,78524117
12,23,8/27/2025 3:11:57 PM,NC113,"Macon County, North Carolina",14802,CaF,"Cashiers gravelly fine sandy loam, 50 to 95 percent slopes",14,545803,80,Cashiers,,63.0,26331507,0.0,20.0,28.0,67.5,11.5,21.0,1.4,,28.0,78524121
13,23,8/27/2025 3:11:57 PM,NC113,"Macon County, North Carolina",14802,CaF,"Cashiers gravelly fine sandy loam, 50 to 95 percent slopes",14,545803,80,Cashiers,,63.0,26331507,20.0,124.0,28.0,67.5,11.5,21.0,1.4,,39.0,78524122
14,23,8/27/2025 3:11:57 PM,NC113,"Macon County, North Carolina",14802,CaF,"Cashiers gravelly fine sandy loam, 50 to 95 percent slopes",14,545803,80,Cashiers,,63.0,26331507,124.0,203.0,28.0,65.7,11.5,22.8,1.4,,39.0,78524123
